proj_uid,PovertyChange2000,ChangeLFP00,Manuf1970Change,FamilyIncome2000Change,PopulationChange2000,logTotalPopulation,AvGini20112014,PrePostRecessionChange,UV_place,city,state,fips,displayname,citylongitude,citylatitude,TotalPopulation,Unemployment16up,LaborForce16up,Manuf,MedianFamilyIncome,MedianHouseholdIncome,ForeignBorn,FamilieswithChildren,percentPop2064,Poverty,White,BachPlus25up,HousingPre1980,VacancyRate,HomeAffordability,OwnerOccupied,High30GrossRent,MedianMonthlyHousingCosts,BWDI,HWDI,CBSA_POP_2022_5yr,SA_Part_Est2022,logSA_Part,geo_flag
norwalk_CA,-3.3536162,4.1091428,-68.658432,15.636092,-1.3601425,11.531678,.309525274347528,.0255494877779311,0652526,Norwalk,California,652526,"Norwalk, California",-118.083249,33.905686,101893,5.5816803,62.370522,11.538703,96884,91259,31.817692,52.31654,61.038544,6.1697721,10.772084,19.964071,86.138939,2.3574481,6.4990849,67.636185,57.683849,1923,32.500149,29.204884,13111917,.77710223,-4.8573537,Place
norwalk_CT,3.242439,-.11733571,-82.971054,-3.8557603,9.7635956,11.419164,.3930993973862071,-.0224265373516103,0955990,Norwalk,Connecticut,955990,"Norwalk, Connecticut",-73.420632,41.112192,91050,5.8925085,70.672806,5.8945522,115631,97879,29.939594,44.224815,62.753433,8.2294149,44.676552,42.632431,71.353897,7.3447518,5.0245709,54.845203,48.524548,2151,34.837528,36.888866,958371,9.5004959,-2.3538263,Place
norwich_CT,2.202112,-2.7416325,-62.06007,-8.1110363,10.900683,10.597983,.3117991782259282,.0018523373681207,0956200,Norwich,Connecticut,956200,"Norwich, Connecticut",-72.08019899999999,41.536701,40054,7.0151577,63.754047,12.37722,79630,62713,13.341989,45.537689,58.840569,10.542714,62.275928,22.475142,73.571358,10.6641,3.1955097,54.348965,50.208305,1225,37.675014,27.411333,268448,14.92058,-1.9024287,Place
norwood_OH,1.4675093,4.9450593,-73.63472,15.477882,-12.258362,9.8531408,.3369782851220683,.015991413943733,3957386,Norwood,Ohio,3957386,"Norwood, Ohio",-84.45532799999999,39.161108,19018,4.5114121,70.403618,12.801121,81334,58095,4.4747081,46.141521,68.435165,10.040053,76.138397,34.945305,92.927917,9.8988209,3.5321457,46.388054,49.686382,945,23.875303,37.18745,2253528,.84392118,-4.7748661,Place
novato_CA,2.2662759,-7.3713803,-24.042337,9.4051094,11.38988,10.879085,.3476452043197441,.0059290889316453,0652582,Novato,California,652582,"Novato, California",-122.567,38.091448,53055,6.4925923,61.349236,6.2977777,143567,110948,21.155405,39.774261,53.642445,5.3808475,61.260956,48.412395,66.833427,3.1962202,8.4372864,68.580719,64.091721,2474,47.077263,28.372736,4692242,1.1306962,-4.4823365,Place
novi_MI,1.0132757,-5.8044205,-32.279335,-13.311979,39.007301,11.095438,.301101104032971,-.0077547720351919,2659440,Novi,Michigan,2659440,"Novi, Michigan",-83.481692,42.476816,65870,4.2594304,68.232887,25.912601,139638,110588,27.089722,53.084885,59.357826,2.6183341,58.153938,62.289612,27.612659,5.3912301,3.4379861,67.925026,37.821136,1607,33.724503,30.32579,4375604,1.5053922,-4.1961169,Place
nutley_NJ,.43255892,2.7855656,-74.043343,15.186724,8.9942255,10.303035,.3182873312315864,-.0020680772989394,3.4e+09,Nutley,New Jersey,3401353680,"Nutley, New Jersey",-74.157414,40.818587,29823,4.3347845,69.585312,9.351368,148778,111979,23.384636,43.718277,61.445862,3.8578682,62.931293,50.742332,82.512756,3.6555245,4.1257734,67.954193,50.850712,2170,40.251934,15.689323,19908595,.14979963,-6.5036268,Township
ofallon_MO,-.048602194,-3.8674314,-69.949837,7.4404659,98.888863,11.42764,.310406447939755,.0193420797700932,2954074,O\'Fallon,Missouri,2954074,"O\'Fallon, Missouri",-90.686421,38.771654,91825,3.1055307,73.004616,12.149662,122413,104863,5.397223,51.196514,59.629734,2.504894,82.769402,42.409157,10.05863,2.2622623,2.7044811,80.874344,39.185913,1512,29.577044,25.791946,2813523,3.2637019,-3.4223082,Place
oaklawn_IL,3.5165186,2.9598773,-64.420959,-5.9519625,4.380487,10.962406,.3025238650724138,.00731421368087,1754820,Oak Lawn,Illinois,1754820,"Oak Lawn, Illinois",-87.751925,41.713695,57665,5.8456001,61.497887,8.9528742,99577,77221,16.412035,44.437439,56.951355,7.4611177,65.606522,29.255083,78.118668,5.2699618,3.2491162,81.850441,55.784679,1315,36.526215,13.155156,9566955,.60275185,-5.1114197,Place
oakpark_IL,-.1155333,-5.1909914,-72.556488,10.678837,2.4940979,10.893661,.3704269166287359,.0044123429720608,1754885,Oak Park,Illinois,1754885,"Oak Park, Illinois",-87.78979,41.885582,53834,4.9336939,70.006775,5.319747,159422,103264,8.2141399,50.947029,57.788761,3.5109329,60.043835,71.759727,87.761047,5.5164318,4.2657652,59.515961,42.415825,1891,25.188873,15.125265,9566955,.56270778,-5.1801648,Place
oakpark_MI,4.360054,3.2615204,-12.290626,-24.76568,-1.000235,10.291976,.3024100796926017,-.0105990819166886,2659920,Oak Park,Michigan,2659920,"Oak Park, Michigan",-83.18365900000001,42.467695,29495,9.9317341,67.262772,16.117781,72666,61991,9.4015932,40.271683,61.647736,12.197537,35.96542,38.142197,91.871307,3.3882499,2.8536401,57.890926,50.322578,1187,43.583851,18.420116,4375604,.6740784,-4.999579,Place
