City,C1,C2,C3,highlight,cluster
"West Allis city, Wisconsin",0.4811834994634969,-0.2780092094695399,-1.2606197438316893,normal,1
"Sun Prairie city, Wisconsin",-0.8166878517785685,-1.1948998306548426,-0.1073947093563627,normal,2
"Fitchburg city, Wisconsin",-0.12303498350769448,0.05105110661627554,-0.8829734168129515,normal,1
"Stevens Point city, Wisconsin",2.6834196750006063,-0.8572571609771082,-1.7106083474236082,normal,3
"Milwaukee city, Wisconsin",1.4462890330633504,-0.25013807757256723,-1.6672923407631468,normal,1
"Biloxi city, Mississippi",0.9852893058142049,-1.1463005874907801,-0.5889333329277586,normal,4
"Madison city, Mississippi",-1.6178285177865641,-0.834704193905575,0.5251760640067507,normal,2
"Tupelo city, Mississippi",1.7631697360357625,-1.0493772362029383,-0.9284158787804198,normal,3
"Belton city, Missouri",-1.7682148512521403,-1.869663033322079,-0.03354157424741494,normal,6
"Hobbs city, New Mexico",3.522032708295284,-0.9663322304045985,-1.203166111476953,normal,8
"Santa Fe city, New Mexico",3.2161397639593465,-0.5016486976897547,-0.8290375313835692,normal,3
"South Valley CDP, New Mexico",-0.24774983488708902,-1.5915510986602137,0.4521942146939684,normal,4
"Albany city, New York",0.8297121230444295,0.34576078908087515,-1.4616422495918822,normal,1
"New York city, New York",0.1320283118566854,1.7203089858734777,-1.5582810483055662,normal,5
"Jamestown city, New York",1.541136712201534,-0.77632406695245,-1.3295979342537474,normal,4
"Middletown city, New York",-0.015329390398563625,-0.4319417808806727,-0.6034011087494444,normal,1
"Brighton CDP, New York",-0.8783300217309611,-0.4208491180693934,-0.5067969999390196,normal,2
"Rochester city, New York",0.8317358199438436,0.012685027285831207,-1.5184751591759276,normal,1
"Apex town, North Carolina",-2.289294629923405,-1.051949295834286,0.8010527350825716,normal,2
"Goldsboro city, North Carolina",2.5147967044195516,-0.4835622642791102,-1.6051173052864622,normal,3
"Greenville city, North Carolina",2.8722600642523153,-0.22266987307427621,-1.2010470471458983,normal,3
"Kent city, Ohio",0.7716111842474325,0.35889526860358023,-0.5949413619118284,normal,1
"Fairfield city, Ohio",-1.5541310604730265,-1.7105892036712,-0.2484972915726255,normal,2
"Alliance city, Ohio",0.48393628037780356,-1.2050698135649989,-0.8424219927864622,normal,4
"Cincinnati city, Ohio",0.8323809806188924,0.08332296864630484,-1.4406124196129393,normal,1
"Westerville city, Ohio",-2.203494101397099,-0.9751112793242762,0.33929726564115775,normal,2
"Mason city, Ohio",-1.105299383036198,-1.92404774172662,0.8352587976378847,normal,6
"Kyle city, Texas",-2.1754262741723673,-0.5029070709502528,0.012754396430914527,normal,2
"Longview city, Texas",3.2241210643133504,-0.16461637957452036,-2.0223103604393553,normal,3
"Galveston city, Texas",0.6167485419592245,0.23668834225775504,-0.26185689783864724,normal,1
"Beaumont city, Texas",2.5047440234503133,-0.9247424934661219,-1.5327582202034544,normal,3
"Waco city, Texas",3.140114754804073,-0.32037666781304575,-1.4616750321465086,normal,3
"Everett city, Washington",-0.4725833233514445,1.1452097560608556,0.487188235752051,normal,7
"Bellingham city, Washington",2.5574392978033407,0.4403988982880285,-0.6482052049713682,normal,3
"South Hill CDP, Washington",-1.0929127033868449,0.25765272633673453,1.185949996940558,normal,7
"Lehi city, Utah",-1.6135727461496012,-0.7884233330046961,1.146664575569098,normal,2
"Orem city, Utah",1.6560926143011434,0.5458349849426916,-0.43374054051213967,normal,3
"Provo city, Utah",2.333988160260616,0.30917235867621207,-0.8572496018486571,normal,3
"Springville city, Utah",-2.068998545042576,-0.9274175499236414,0.919714645378058,normal,2
"St. George city, Utah",2.8887405101141317,-0.27789476855157114,-0.7103804192619871,normal,3
"Clearfield city, Utah",-0.20274379812866616,-0.06784561617730356,0.36003326707309974,normal,7
"Sioux Falls city, South Dakota",3.8555693332037313,-0.9533264969146082,-1.4864436230736326,normal,8
"Tigard city, Oregon",-1.1324748095193522,1.2019657756531408,0.4806711085957934,normal,7
"Tualatin city, Oregon",-1.1138927038827555,1.232688155337589,0.4168164365810801,normal,7
"Salem city, Oregon",2.4407396022161825,0.34478112713934683,-0.6553152046280455,normal,3
"McMinnville city, Oregon",-0.8596351441064494,0.8494710590088537,0.4518792190474917,normal,7
"Warwick city, Rhode Island",-1.2157099541345255,-0.5370405052459071,0.334630825452273,normal,2
"Providence city, Rhode Island",0.37572237885802817,1.060989346667545,-1.5637509665566038,normal,5
"Woonsocket city, Rhode Island",0.6641573611578329,0.3339447643006017,-1.2542178473549437,normal,1
"Pawtucket city, Rhode Island",0.4133717719396932,0.7658500339234044,-1.4563073954659056,normal,5
"Gallatin city, Tennessee",-1.202393799654545,-0.056474242047054535,-0.19988630629354226,normal,2
"Knoxville city, Tennessee",1.8885473910650594,-0.49885681612847543,-1.2712472519951414,normal,3
"Kingsport city, Tennessee",1.6303968135198934,-1.0528071258818934,-0.963841422565515,normal,3
"Aliquippa city, Pennsylvania",0.47442695535033774,-1.386703762844784,-0.03970457530790078,normal,4
"Erie city, Pennsylvania",2.3072814647039754,-0.8497546051299403,-1.5998551688271117,normal,3
"Summerville town, South Carolina",-0.1650467213311808,-0.2963235710418055,0.2929319132936646,normal,7
"Springfield city, Oregon",1.0515529815039022,0.19654461400152945,-0.4732449493485044,normal,1
"Corvallis city, Oregon",2.736366719373165,0.116610970660465,-0.9360081992226195,normal,3
"West Bend city, Wisconsin",-1.137356906763615,-0.48470190508721567,-0.33239708758168923,normal,2
"Guaynabo zona urbana, Puerto Rico",-1.2170640524545329,-2.1623847816741297,-0.30163727618032204,normal,2
"Butte-Silver Bow (balance), Montana",3.374264687665401,-0.6709153984343836,-1.7960625729637694,normal,3
"Omaha city, Nebraska",3.413814515241085,-0.815529618099911,-1.070789321430261,normal,3
"Bellevue city, Nebraska",-0.428913861147465,-1.5604470108306239,-0.3161192379074644,normal,4
"Watertown city, New York",2.4916429225286825,-0.5673249100005457,-1.6275210223274779,normal,3
"Valley Stream village, New York",-1.2748787697473185,0.9243895675385168,1.244788185588782,normal,7
"Syracuse city, New York",0.8152980510076864,0.21627565877081656,-1.4583098731117796,normal,1
"Schenectady city, New York",0.6140200797399862,-0.24782541735528207,-1.3894754490929198,normal,1
"Raleigh city, North Carolina",2.4088277522405965,0.27448340909125113,-0.8639306864815306,normal,3
"Concord city, North Carolina",-1.2904310520806925,-0.3304541443145106,-0.19743429041677224,normal,2
"Salisbury city, North Carolina",-0.6004572209039347,-0.36888769610284067,-0.5746155223923277,normal,2
"Cleveland city, Ohio",1.1602768603643758,-0.26260593874810434,-1.5731295189934325,normal,1
"Xenia city, Ohio",0.42150995171874595,-1.2453997467315028,-0.9249334178047728,normal,4
"Mansfield city, Ohio",2.8185467425665243,-0.7872813080107997,-1.504947288997705,normal,3
"Grove City city, Ohio",-1.8365680273690836,-1.7648232315337489,0.2441840366346289,normal,6
"Hilliard city, Ohio",-1.5440863665261881,-2.031931671932919,0.25777245768136275,normal,6
"Centerville city, Ohio",-1.7845403250375407,-1.8248780105864832,0.006057874195044166,normal,6
"Mentor city, Ohio",-1.2629261311212199,-1.9450233314788172,0.9200767435950685,normal,6
"Zanesville city, Ohio",2.581799954541622,-0.5863669250762293,-1.6226241431313109,normal,3
"Youngstown city, Ohio",0.8034419719061239,-1.18204334719537,-0.8917351803856444,normal,4
"Abilene city, Texas",3.915179223187862,-0.8217251632964442,-1.6095530829506468,normal,8
"Brushy Creek CDP, Texas",-1.4815949495950358,-1.931874546841366,0.9752816715163637,normal,6
"Amarillo city, Texas",3.936170071729122,-0.8616388176238368,-1.704363449581201,normal,8
"Timberwood Park CDP, Texas",-1.5380279120126383,-0.8102577064788172,0.6061364271563936,normal,2
"Mesquite city, Texas",-0.0021879967370646014,0.09497257725836539,0.5430661001128603,normal,7
"Paris city, Texas",3.284223527081905,-0.1259272430693934,-2.030570372112329,normal,3
"Grand Prairie city, Texas",-1.2585783299127238,-0.5645587776458094,-0.5112969718056273,normal,2
"Lewisville city, Texas",-0.4294224079766886,0.10023352162482047,-0.13246689654165017,normal,2
"Huntsville city, Texas",2.6601710025152547,-0.8246343467986414,-0.6057381472664427,normal,3
"Hurst city, Texas",-1.4147323664346354,-0.9637825821196864,-0.5259803972321104,normal,2
"Wheeling city, West Virginia",-0.0918627079644816,-1.224085125759823,-1.0970597109871458,normal,4
"Weirton city, West Virginia",-1.1244424875894206,-1.2745216224944422,-0.43295441485219704,normal,2
"SeaTac city, Washington",-0.14566352926880288,1.2809633876526525,-0.07901514983945596,normal,1
